Category: News

Week,News: (Hong Kong)
2014-04-06,45
2014-04-13,38
2014-04-20,42
2014-04-27,37
2014-05-04,41
2014-05-11,48
2014-05-18,47
2014-05-25,44
2014-06-01,47
2014-06-08,43
2014-06-15,41
2014-06-22,42
2014-06-29,43
2014-07-06,48
2014-07-13,52
2014-07-20,50
2014-07-27,40
2014-08-03,40
2014-08-10,50
2014-08-17,49
2014-08-24,45
2014-08-31,46
2014-09-07,35
2014-09-14,39
2014-09-21,41
2014-09-28,100
2014-10-05,45
2014-10-12,53
2014-10-19,42
2014-10-26,41
2014-11-02,41
2014-11-09,39
2014-11-16,38
2014-11-23,41
2014-11-30,39
2014-12-07,35
2014-12-14,42
2014-12-21,36
2014-12-28,47
2015-01-04,41
2015-01-11,37
2015-01-18,37
2015-01-25,35
2015-02-01,36
2015-02-08,35
2015-02-15,33
2015-02-22,34
2015-03-01,37
2015-03-08,35
2015-03-15,34
2015-03-22,36
2015-03-29,31
2015-04-05,33
2015-04-12,31
2015-04-19,35
2015-04-26,37
2015-05-03,35
2015-05-10,31
2015-05-17,30
2015-05-24,33
2015-05-31,37
2015-06-07,34
2015-06-14,38
2015-06-21,39
2015-06-28,40
2015-07-05,41
2015-07-12,41
2015-07-19,35
2015-07-26,39
2015-08-02,37
2015-08-09,36
2015-08-16,44
2015-08-23,41
2015-08-30,39
2015-09-06,30
2015-09-13,35
2015-09-20,34
2015-09-27,34
2015-10-04,37
2015-10-11,30
2015-10-18,33
2015-10-25,33
2015-11-01,36
2015-11-08,41
2015-11-15,40
2015-11-22,32
2015-11-29,33
2015-12-06,33
2015-12-13,28
2015-12-20,30
2015-12-27,29
2016-01-03,30
2016-01-10,32
2016-01-17,33
2016-01-24,34
2016-01-31,36
2016-02-07,38
2016-02-14,32
2016-02-21,33
2016-02-28,34
2016-03-06,30
2016-03-13,30
2016-03-20,30
2016-03-27,27
2016-04-03,28
2016-04-10,29
2016-04-17,33
2016-04-24,28
2016-05-01,28
2016-05-08,33
2016-05-15,30
2016-05-22,31
2016-05-29,28
2016-06-05,32
2016-06-12,30
2016-06-19,45
2016-06-26,36
2016-07-03,31
2016-07-10,37
2016-07-17,35
2016-07-24,36
2016-07-31,38
2016-08-07,33
2016-08-14,30
2016-08-21,30
2016-08-28,34
2016-09-04,35
2016-09-11,31
2016-09-18,32
2016-09-25,36
2016-10-02,35
2016-10-09,31
2016-10-16,40
2016-10-23,32
2016-10-30,32
2016-11-06,53
2016-11-13,33
2016-11-20,28
2016-11-27,27
2016-12-04,28
2016-12-11,27
2016-12-18,26
2016-12-25,26
2017-01-01,26
2017-01-08,26
2017-01-15,29
2017-01-22,30
2017-01-29,29
2017-02-05,29
2017-02-12,30
2017-02-19,28
2017-02-26,26
