
="",="(1)",="(2)",="(3)"
="",="Turnout",="Turnout",="Turnout"

="Years Broadcasting",="-0.000174",="-0.00389***",="-0.00797***"
="",="(0.000589)",="(0.000627)",="(0.00196)"

="Years Broadcasting * Presidential Year",="",="0.0110***",="0.0126***"
="",="",="(0.000897)",="(0.00104)"

="Presidential Year",="",="0.135***",="0.138***"
="",="",="(0.00244)",="(0.00300)"

="Party Difference",="",="",="-0.194***"
="",="",="",="(0.0258)"

="Quadratic Years Broadcasting",="",="",="0.000434"
="",="",="",="(0.000254)"

="Constant",="0.365***",="0.365***",="0.419***"
="",="(0.00158)",="(0.00157)",="(0.00217)"

="ar2",="0.919",="0.920",="0.906"
="N",="20958",="20958",="16743"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
