
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Turnout",="Turnout",="Turnout",="Turnout",="Turnout"

="Years Broadcasting",="-0.00226**",="-0.00226**",="-0.00584***",="-0.00215*",="-0.0309***"
="",="(0.000693)",="(0.000777)",="(0.00132)",="(0.000962)",="(0.00651)"

="Years Broadcasting * Presidential Year",="",="0.00000453",="-0.000884",="-0.000872",="-0.000898"
="",="",="(0.00104)",="(0.00113)",="(0.00114)",="(0.00113)"

="Presidential Year",="",="-0.0805**",="-0.168***",="-0.180***",="-0.144***"
="",="",="(0.0289)",="(0.0325)",="(0.0316)",="(0.0349)"

="Party Difference",="",="",="-0.379***",="-0.379***",="-0.378***"
="",="",="",="(0.0316)",="(0.0316)",="(0.0318)"

="Percent Urban",="",="",="0.00826**",="",=""
="",="",="",="(0.00255)",="",=""

="Percent Nonwhite",="",="",="",="-0.00171",=""
="",="",="",="",="(0.00498)",=""

="Log Population",="",="",="",="",="0.00269***"
="",="",="",="",="",="(0.000620)"

="Constant",="0.382***",="0.382***",="0.399***",="0.415***",="0.363***"
="",="(0.0307)",="(0.0309)",="(0.0354)",="(0.0343)",="(0.0393)"

="ar2",="0.926",="0.926",="0.916",="0.915",="0.916"
="N",="20917",="20917",="16706",="16706",="16706"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
