
="",="(1)",="(2)",="(3)"
="",="Turnout",="Turnout",="Turnout"

="Years Broadcasting",="0.00136",="-0.000785",="-0.00526*"
="",="(0.000797)",="(0.000874)",="(0.00206)"

="Years Broadcasting * Presidential",="",="0.00461***",="0.00720***"
="",="",="(0.000958)",="(0.00147)"

="Presidential Year",="",="0.120***",="0.129***"
="",="",="(0.00536)",="(0.00758)"

="Party Difference",="",="",="-0.182***"
="",="",="",="(0.0262)"

="Quadratic Years Broadcasting",="",="",="0.000127"
="",="",="",="(0.000202)"

="Constant",="0.380***",="0.380***",="0.430***"
="",="(0.00165)",="(0.00165)",="(0.00219)"

="ar2",="0.914",="0.915",="0.900"
="N",="19455",="19455",="15811"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
