
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="Turnout",="Turnout",="Turnout",="Turnout",="Turnout",="Turnout",="Turnout"

="Years Broadcasting",="0.000751",="0.000751",="-0.000321",="-0.00195",="-0.00258",="-0.000816",="-0.00505"
="",="(0.000795)",="(0.000795)",="(0.000883)",="(0.00150)",="(0.00165)",="(0.00150)",="(0.0105)"

="Years Broadcasting * Presidential",="",="",="0.00230*",="0.00265**",="0.00264**",="0.00271**",="0.00265**"
="",="",="",="(0.000982)",="(0.000970)",="(0.000970)",="(0.000969)",="(0.000970)"

="Presidential Year",="",="",="-0.0621*",="-0.0606*",="-0.0553",="-0.0723*",="-0.0445"
="",="",="",="(0.0309)",="(0.0309)",="(0.0317)",="(0.0305)",="(0.0634)"

="Quadratic Years Broadcasting",="",="",="",="0.000180",="0.000177",="0.000133",="0.000180"
="",="",="",="",="(0.000160)",="(0.000160)",="(0.000159)",="(0.000160)"

="Percent Urban * Years Broadcasting",="",="",="",="",="0.00451",="",=""
="",="",="",="",="",="(0.00380)",="",=""

="Percent Nonwhite * Years Broadcasting",="",="",="",="",="",="-0.00862***",=""
="",="",="",="",="",="",="(0.00125)",=""

="Log Population * Years Broadcasting",="",="",="",="",="",="",="0.000322"
="",="",="",="",="",="",="",="(0.00107)"

="Constant",="0.362***",="0.362***",="0.362***",="0.362***",="0.353***",="0.379***",="0.339***"
="",="(0.0313)",="(0.0313)",="(0.0313)",="(0.0313)",="(0.0329)",="(0.0315)",="(0.0832)"

="ar2",="0.918",="0.918",="0.918",="0.918",="0.918",="0.919",="0.918"
="N",="19414",="19414",="19414",="19414",="19414",="19414",="19414"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
